Kitzur Shulchan Arukh
קיצור שלחן ערוך
Russian [ru]
Если отец или мать спят, а ключ от лавки сына находится под их головой, запрещено будить их, даже если из-за этого он потеряет большую прибыль. Однако если пробуждение родителей принесёт выгоду для них, или если, не разбудив их, они огорчатся из-за упущенной прибыли, заповедано разбудить их, так как это принесёт им радость. Также заповедано разбудить их для посещения синагоги или другого дела, связанного с заповедью, так как все обязаны в почитании Всевышнего (по Хаей Адам от имени книги Хасидим).
Если сыну необходимо сделать какое-то дело в городе, и он знает, что другие завершат это ради его отца, хотя бы и для него самого, он не должен говорить: «Сделайте это для меня», а должен сказать: «Сделайте это ради моего отца», чтобы почтение приписали отцу.
Если мать говорит ему сделать что-то, и он делает это, а затем приходит отец и спрашивает, кто сказал ему это сделать, и сын понимает, что, если он скажет, что это сказала мать, отец рассердится на неё, тогда он не должен говорить, что мать велела ему сделать это, даже если из-за этого отец рассердится на него (Хаей Адам от имени книги Хасидим).
Обязан вставать перед отцом и матерью.
Обязан уважать их и после их смерти. Если он упоминает их в течение двенадцати месяцев устно или письменно, он должен говорить или писать: «Пусть будет я искуплением за их душу». По истечении двенадцати месяцев (когда суд нечестивцев Израиля в аду длится не более двенадцати месяцев), он должен говорить или писать: «Пусть память о них будет благословенна в вечной жизни» (см. выше, раздел 26, пункт 22).
Даже если отец является грешником и совершает преступления, сын обязан его уважать и бояться. И даже если сын незаконнорождённый, он обязан почитать своего отца и уважать его. Однако есть мнение, что если отец не сделал раскаяние, сын не обязан его уважать. Однако запрещено причинять ему страдания. Следует придерживаться первого мнения.
Если сын видит, что отец нарушает слова Торы, он не должен говорить ему: «Ты нарушил слова Торы», а должен сказать: «Отец, в Торе написано так-то и так-то», как будто спрашивая его, а не увещевая, и пусть отец сам поймёт и не будет унижен.
Если отец велит нарушить слова Торы, будь то заповедь «сделай» или «не делай», даже если это заповедь, установленная мудрецами, сын не должен слушать его, так как сказано: «Каждый должен бояться свою мать и своего отца, и субботы Мои соблюдайте. Я — Господь, Бог ваш». Поставлено соблюдение субботы рядом с уважением родителей, чтобы сказать, что если родители велят осквернить субботу, не слушай их. И так со всеми остальными заповедями. «Я — Господь, Бог ваш», и ты, и твой отец обязаны почитать Меня. Поэтому не слушай его, чтобы отменить Мои слова. И также заповеди мудрецов — это слова Всевышнего, да будет благословенно Его Имя, как сказано: «Не уклоняйся и т.д.». Если отец говорит сыну, чтобы тот не разговаривал с кем-то или не прощал его, а сын хочет примириться, ему не следует заботиться о запрете отца, потому что запрещено ненавидеть любого еврея, если только он не нарушает заповеди, и, следовательно, отец велит сыну нарушить слова Торы.
Если сын хочет поехать в какое-то место учить Тору, потому что там он получит большую пользу, а отец протестует против этого по какой-то причине, он не обязан слушаться отца, потому что изучение Торы выше почитания отца и матери (как это видно на примере нашего праотца Яакова, мир ему, когда он ушёл от Ицхака и пробыл в доме учения Эвера четырнадцать лет, занимаясь Торой, и только потом отправился к Лавану, и оставался там и в пути в общей сложности двадцать два года, за что был наказан, потому что не исполнял заповедь почитания отца, и Иосиф был скрыт от него двадцать два года. Однако за четырнадцать лет, посвящённых изучению Торы, он не был наказан). Также если сын хочет жениться, а отец не соглашается, он не обязан его слушать.
Как мужчины, так и женщины обязаны почитать отца и мать, но замужняя женщина, так как она подчиняется мужу, освобождена от этой обязанности. Однако, если муж не возражает, она обязана выполнять всё, что ей возможно.
Каждый, кто унижает своего отца или мать, даже словами или намёком, подпадает под проклятие от Всевышнего, как сказано: «Проклят, кто унижает отца или мать».
Если у отца или матери заноза, сын не должен её удалять, чтобы случайно не нанести им рану (это может быть смертным грехом). Также, если сын является врачом, он не должен пускать им кровь или отрезать какой-либо орган, даже если делает это для лечения. В каких случаях это правило применимо? Когда есть другой, кто может это сделать. Однако, если никого другого нет, и родители страдают, он может пустить им кровь и сделать операцию в меру необходимости.
Если умственные способности отца или матери ухудшились, сын должен стараться обращаться с ними в соответствии с их состоянием, пока Всевышний не сжалится над ними. Если же он не может выдержать этого из-за их крайнего состояния, он может оставить их и поручить другим заботиться о них должным образом.
Запрещено человеку обременять своих детей или требовать от них чрезмерного уважения, чтобы не довести их до греха, а следует прощать и закрывать глаза на их ошибки. Потому что если отец прощает свою честь, то она считается прощённой.
Запрещено бить взрослого сына. И это "взрослость" не связана с возрастом, а зависит от характера сына: если есть опасение, что он станет возражать отцу словами или действиями, даже если он ещё не достиг возраста заповедей, запрещено его бить. Следует увещевать его словами. Каждый, кто бьёт своего взрослого сына, подвергается отлучению, так как он нарушает заповедь "Не ставь препятствие перед слепым".
Человек обязан уважать жену своего отца, даже если она не является его матерью, пока отец жив. Также он обязан уважать мужа своей матери, пока она жива. И благоразумно почитать их и после смерти отца или матери.
Человек обязан уважать старшего брата, будь то брат по отцу или по матери. Также он обязан уважать тестя и тёщу (как видно из примера царя Давида, мир ему, который почитал царя Шауля, своего тестя, и называл его "отцом", говоря ему: "Отец мой, смотри, посмотри"). Также он обязан уважать деда. Однако уважение к отцу выше, чем к деду.
Кто действительно хочет почитать своего отца и мать, пусть занимается Торой и добрыми делами, потому что это — величайшая честь для родителей, когда люди говорят: «Счастливы отец и мать, которые воспитали такого сына». Однако если сын не следует правильному пути, родители будут нести позор за него, и он будет позорить их величайшим образом. Также отец, который хочет по-настоящему проявлять милость к своим детям, пусть занимается Торой и добрыми делами, чтобы быть угодным небесам и людям, и тогда дети будут уважать его. Однако если человек не идёт по правильному пути, то и его потомки будут порочны. По вине отцов также умирают дети, как сказано: «Наказывающий детей за грехи отцов». И нет ничего более жестокого, чем это, когда человек своими грехами приводит к смерти своих детей. И нет никого, кто бы более проявлял милосердие к своим детям, чем праведник, потому что его заслуга распространяется на тысячу поколений.
Гер (конвертит) не должен проклинать своего нееврейского отца и не должен его унижать, чтобы не говорили [в народе нееврейского отца], что он перешёл от строгой святости к менее строгой. Вместо этого он должен проявлять к нему некоторое уважение.
