Text 1,Text 2,Link Count
Tur,Tur,1017
Jastrow,Kiddushin,991
"Mishneh Torah, Sabbath","Shulchan Arukh, Orach Chayim",990
Berakhot,Pri Tzadik,984
Genesis,Jastrow,984
Likutei Moharan,Psalms,981
Chullin,Tur,945
Midrash Tanchuma,Psalms,945
Pri Tzadik,Shabbat,934
Midrash Aggadah,Numbers,918
Chullin,"Shulchan Arukh, Yoreh De'ah",915
Jastrow,Kohelet Rabbah,911
Tur,Yevamot,893
Gittin,Tur,890
Jastrow,Targum Jonathan on Genesis,877
Deuteronomy,Yismach Moshe,874
Daf Shevui to Megillah,Megillah,872
Jastrow,Onkelos Exodus,872
Jastrow,Niddah,862
Akeidat Yitzchak,Psalms,851
Jastrow,Megillah,842
Berakhot,Tur,834
Ketubot,Sefer Mitzvot Gadol,829
Exodus,Midrash Aggadah,827
Isaiah,Shenei Luchot HaBerit,824
"Mishneh Torah, Marriage","Shulchan Arukh, Even HaEzer",823
Sefer Mitzvot Gadol,Shabbat,822
Deuteronomy,Rabbeinu Bahya,820
Jastrow,Menachot,817
Jastrow,Mishnah Kelim,814
Job,Mahberet Menachem,809
Berakhot,"Shulchan Arukh, Orach Chayim",805
Midrash Tanchuma Buber,Psalms,804
Deuteronomy,Zohar,799
Jastrow,Sotah,791
Genesis,Mahberet Menachem,789
Gittin,Sefer Mitzvot Gadol,788
Ketubot,"Shulchan Arukh, Even HaEzer",784
Exodus,Jastrow,780
Jastrow,Pesikta Rabbati,770
Eruvin,Tur,765
"Shulchan Arukh, Even HaEzer",Yevamot,756
Be'er Mayim Chaim,Bereishit Rabbah,756
Deuteronomy,Midrash Tanchuma,755
Leviticus,Zevachim,754
Jastrow,Taanit,743
Deuteronomy,Jastrow,731
"Mishneh Torah, Sabbath",Tur,729
Jastrow,Leviticus,727
Proverbs,Zohar,720
Deuteronomy,Midrash Tanchuma Buber,714
Jastrow,Tosefta Shabbat,713
Exodus,Mahberet Menachem,703
Leviticus,Shenei Luchot HaBerit,697
Eruvin,"Shulchan Arukh, Orach Chayim",694
Isaiah,Rabbeinu Bahya,687
Jastrow,Moed Katan,672
Leviticus,Steinsaltz on Zevachim,671
Chullin,Sefer Mitzvot Gadol,666
Numbers,Shenei Luchot HaBerit,665
Akeidat Yitzchak,Genesis,664
"Mishneh Torah, Marriage",Tur,661
Sefer Mitzvot Gadol,Yevamot,660
Akeidat Yitzchak,Deuteronomy,657
Bereishit Rabbah,Rashi on Genesis,648
Leviticus,Midrash Tanchuma Buber,644
Jastrow,Sukkah,643
Akeidat Yitzchak,Exodus,633
Beit Yosef,Shabbat,632
Kiddushin,Tur,629
Leviticus,Menachot,628
Jastrow,Targum Jonathan on Deuteronomy,628
Jastrow,Targum Jonathan on Exodus,614
Sefer HaChinukh,Sefer HaMitzvot,613
Jastrow,Targum Jerusalem,613
Avodah Zarah,Tur,609
Numbers,Rabbeinu Bahya,609
Sefer HaMitzvot,Sefer Mitzvot Gadol,608
Sanhedrin,Sefer Mitzvot Gadol,604
Berakhot,Shenei Luchot HaBerit,597
Proverbs,Rabbeinu Bahya,585
Rashi on Leviticus,Sifra,580
Ein Yaakov,Psalms,579
Isaiah,Midrash Tanchuma,575
Numbers,Zohar,573
Deuteronomy,Midrash Aggadah,573
Beit Yosef,Ketubot,570
Leviticus,Sefer HaChinukh,570
Ein Yaakov (Glick Edition),Psalms,559
Bekhorot,Jastrow,557
Ketubot,"Mishneh Torah, Marriage",553
Bereishit Rabbah,Bereishit Rabbah,553
Gittin,"Shulchan Arukh, Even HaEzer",552
Proverbs,Shenei Luchot HaBerit,551
Jastrow,Psalms,551
Bava Batra,Teshuvot Maharam,551
Arukh HaShulchan,"Shulchan Arukh, Yoreh De'ah",550
Bava Batra,Beit Yosef,550
Jastrow,Onkelos Deuteronomy,550
Exodus,Mekhilta d'Rabbi Yishmael,548
Jastrow,Targum Jonathan on Ezekiel,544
Leviticus,Zohar,540
Avodah Zarah,"Shulchan Arukh, Yoreh De'ah",536
Jastrow,Nedarim,535
Otzar Midrashim,Psalms,535
Isaiah,Yismach Moshe,534
Berakhot,Sefer Mitzvot Gadol,533
Numbers,Yismach Moshe,533
Genesis,Midrash Lekach Tov,533
Jastrow,Targum Jonathan on Numbers,532
"Mishneh Torah, Sabbath",Sefer Mitzvot Gadol,530
Jastrow,Targum Jonathan on Jeremiah,530
Bava Kamma,"Mishneh Torah, Damages to Property",530
Shabbat,Shenei Luchot HaBerit,528
Chullin,"Mishneh Torah, Ritual Slaughter",527
Jastrow,Rosh Hashanah,526
Bava Metzia,Teshuvot Maharam,526
Likutei Halachot,Psalms,525
Beitzah,Jastrow,523
Deuteronomy,Sifrei Devarim,522
Jastrow,Onkelos Leviticus,520
Deuteronomy,Ein Yaakov,520
Akeidat Yitzchak,Isaiah,518
Midrash Tanchuma,Numbers,517
Bamidbar Rabbah,Exodus,515
Devarim Rabbah,Jastrow,514
Rashi on Deuteronomy,Sifrei Devarim,514
Jeremiah,Mahberet Menachem,509
Genesis,Likutei Moharan,507
Megaleh Amukot,Psalms,506
Exodus,Midrash Lekach Tov,503
Midrash Lekach Tov,Psalms,500
Genesis,Pirkei DeRabbi Eliezer,499
Jastrow,Mishnah Shabbat,497
Jastrow,Sifrei Devarim,495
Leviticus,Sefer Mitzvot Gadol,491
Genesis,The Midrash of Philo,489
Nedarim,Tur,489
Jastrow,Pirkei Avot,488
Avodah Zarah,Sefer Mitzvot Gadol,486
Bava Batra,Sefer HaTashbetz,486
Eruvin,Rashba on Eruvin,484
"Mishneh Torah, Sales","Shulchan Arukh, Choshen Mishpat",484
Mekhilta DeRabbi Shimon Bar Yochai,Mekhilta d'Rabbi Yishmael,482
Jastrow,Zevachim,480
Bereishit Rabbah,Psalms,480
Be'er Mayim Chaim,Psalms,478
"Mishneh Torah, Divorce","Shulchan Arukh, Even HaEzer",478
Kiddushin,Sefer Mitzvot Gadol,476
Rashba on Shabbat,Shabbat,470
Nedarim,"Shulchan Arukh, Yoreh De'ah",470
Bamidbar Rabbah,Genesis,469
Eruvin,Sefer Mitzvot Gadol,469
Sefer HaChinukh,Sefer Mitzvot Katan,464
Deuteronomy,Mahberet Menachem,464
"Mishneh Torah, Forbidden Foods","Shulchan Arukh, Yoreh De'ah",464
Sefer Mitzvot Gadol,Sefer Mitzvot Katan,463
Mekhilta d'Rabbi Yishmael,Rashi on Exodus,460
Gittin,"Mishneh Torah, Divorce",459
Song of Songs,Zohar,458
"Mishneh Torah, Marriage",Sefer Mitzvot Gadol,456
Leviticus,Meshech Hochma,454
Sanhedrin,Torah Temimah on Torah,452
Pri Tzadik,Sanhedrin,444
Beit Yosef,Berakhot,442
Be'er Mayim Chaim,Genesis,441
Bava Metzia,Beit Yosef,441
Jastrow,Numbers,441
Pesachim,Tur,440
Genesis,Tikkunei Zohar,439
Leviticus,Rabbeinu Bahya,438
Mahberet Menachem,Proverbs,437
Genesis,Kedushat Levi,436
Jastrow,Onkelos Numbers,435
Jastrow,Targum Jonathan on Leviticus,435
Leviticus,Midrash Aggadah,434
Leviticus,Midrash Tanchuma,434
Footnotes to Teshuvot haRashba part V,Teshuvot haRashba part V,433
Deuteronomy,Ein Yaakov (Glick Edition),433
Psalms,Shemot Rabbah,431
Deuteronomy,Sefer HaChinukh,431
Exodus,Megaleh Amukot,431
Genesis,Megaleh Amukot,430
Ezekiel,Mahberet Menachem,429
Deuteronomy,Meshech Hochma,428
Isaiah,Otzar Midrashim,426
"Mishneh Torah, Forbidden Intercourse",Niddah,423
Ein Yaakov,Genesis,423
Leviticus,Vayikra Rabbah,422
Chagigah,Jastrow,422
Kad HaKemach,Psalms,422
Isaiah,Likutei Moharan,421
Akeidat Yitzchak,Proverbs,421
Ein Yaakov (Glick Edition),Isaiah,417
Exodus,Mekhilta DeRabbi Shimon Bar Yochai,417
Bereishit Rabbah,Yismach Moshe,416
Ein Yaakov,Exodus,414
Psalms,Recanati on the Torah,409
Tosafot on Zevachim,Zevachim,407
Sanhedrin,Tur,407
Sefer HaChinukh,Tur,407
"Mishneh Torah, Sales",Tur,406
Deuteronomy,Midrash Lekach Tov,405
Isaiah,Jastrow,405
Beitzah,Tur,404
Berakhot,Yismach Moshe,402
Mekhilta d'Rabbi Yishmael,Mekhilta d'Rabbi Yishmael,400
"Mishneh Torah, Forbidden Foods",Tur,400
Sefer Hamitzvot of Rasag,Sefer Mitzvot Gadol,400
Chizkuni,Exodus,400
Sefer HaChinukh,Sefer Hamitzvot of Rasag,399
Leviticus,Malbim on Leviticus,398
Niddah,Tur,397
Beit Yosef,Gittin,395
Ein Yaakov,Isaiah,394
"Mishneh Torah, Forbidden Intercourse",Sefer Mitzvot Gadol,394
Sefer HaMitzvot,Sefer Hamitzvot of Rasag,393
Leviticus,Mahberet Menachem,393
Kiddushin,"Shulchan Arukh, Even HaEzer",392
Deuteronomy,Sefer Mitzvot Gadol,392
Isaiah,Klein Dictionary,391
Beitzah,"Shulchan Arukh, Orach Chayim",390
Ketubot,"Shulchan Arukh, Choshen Mishpat",386
"Mishneh Torah, Robbery and Lost Property","Shulchan Arukh, Choshen Mishpat",386
B'Mareh HaBazak Volume VII,"Shulchan Arukh, Orach Chayim",385
"Mishneh Torah, Forbidden Intercourse",Tur,384
Ein Yaakov (Glick Edition),Genesis,382
Moed Katan,Tur,380
Rashba on Yevamot,Yevamot,380
Mahberet Menachem,Numbers,373
Leviticus,Yismach Moshe,373
Beit Yosef,Yevamot,373
Jastrow,Targum Jonathan on I Samuel,372
Chullin,Tosafot on Chullin,371
Genesis,Zohar Chadash,371
"Mishneh Torah, Vows",Nedarim,370
Psalms,Tikkunei Zohar,368
Chizkuni,Genesis,368
Tosafot on Yevamot,Yevamot,368
Nedarim,Sefer Mitzvot Gadol,368
Bamidbar Rabbah,Psalms,367
Exodus,Kedushat Levi,366
Midrash Tanchuma Buber,Numbers,366
Bamidbar Rabbah,Deuteronomy,366
Midrash Tanchuma,Proverbs,366
Numbers,Sifrei Bamidbar,366
"Mishneh Torah, Negative Mitzvot",Sefer HaMitzvot,365
Leviticus,Sefer Hamitzvot of Rasag,364
"Mishneh Torah, Negative Mitzvot",Sefer HaChinukh,364
Isaiah,Midrash Tanchuma Buber,364
Deuteronomy,Sefer Mitzvot Katan,363
"Mishneh Torah, Creditor and Debtor",Tur,363
Exodus,Tikkunei Zohar,361
"Mishneh Torah, Divorce",Tur,361
Exodus,Meshech Hochma,360
Pesachim,Sefer Mitzvot Gadol,360
Berakhot,Likutei Moharan,359
"Mishneh Torah, Negative Mitzvot",Sefer Mitzvot Gadol,359
Likutei Moharan,Proverbs,357
Bava Kamma,Beit Yosef,357
Isaiah,Midrash Lekach Tov,356
"Maggid Mishneh on Mishneh Torah, Sabbath",Shabbat,356
"Mishneh Torah, Prayer and the Priestly Blessing","Shulchan Arukh, Orach Chayim",354
Eruvin,"Mishneh Torah, Sabbath",351
Midrash Mishlei,Proverbs,350
Akeidat Yitzchak,Numbers,349
Esther Rabbah,Jastrow,349
Chullin,Leviticus,348
Sanhedrin,"Shulchan Arukh, Choshen Mishpat",348
Shabbat,Tosafot on Shabbat,347
"Mishneh Torah, Forbidden Foods",Sefer Mitzvot Gadol,346
Pri Tzadik,Yoma,345
Sefer Mitzvot Gadol,Sefer Mitzvot Gadol,344
Niddah,Sefer Mitzvot Gadol,344
Jastrow,Shevuot,344
Megillah,Pri Tzadik,344
Sanhedrin,Shenei Luchot HaBerit,343
Bava Batra,"Mishneh Torah, Sales",339
Isaiah,Recanati on the Torah,339
Ketubot,Sefer HaTashbetz,338
Psalms,Zohar Chadash,338
Menachot,Tosafot on Menachot,337
Jastrow,Targum Jonathan on I Kings,336
Duties of the Heart,Psalms,334
Exodus,Likutei Moharan,334
Meshech Hochma,Numbers,333
Sefer HaMitzvot,Tur,333
Pesachim,"Shulchan Arukh, Orach Chayim",333
Chullin,"Mishneh Torah, Forbidden Foods",332
Pri Tzadik,Taanit,332
"Mishneh Torah, Ritual Slaughter","Shulchan Arukh, Yoreh De'ah",332
Job,Zohar,332
Isaiah,Midrash Tehillim,330
"Mishneh Torah, Creditor and Debtor","Shulchan Arukh, Choshen Mishpat",329
Leviticus,Yoma,329
"Mishneh Torah, Rest on a Holiday","Shulchan Arukh, Orach Chayim",327
"Mishneh Torah, Sacrifices Rendered Unfit",Zevachim,326
"Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction",Sanhedrin,325
Pirkei DeRabbi Eliezer,Psalms,325
Sefer Mitzvot Gadol,Shevuot,325
Sifra,Zevachim,325
Midrash Lekach Tov on Song of Songs,Song of Songs,324
"Mishneh Torah, Sales",Sefer Mitzvot Gadol,324
Deuteronomy,Sanhedrin,324
"Shulchan Arukh, Orach Chayim",Sukkah,324
Pesachim,Pri Tzadik,322
Ein Yaakov,Proverbs,322
"Mishneh Torah, Vows","Shulchan Arukh, Yoreh De'ah",321
Bereishit Rabbah,Rabbeinu Bahya,321
Chullin,Rashba on Chullin,321
"Mishneh Torah, Levirate Marriage and Release",Yevamot,320
Midrash Tanchuma Buber,Proverbs,320
Beit Yosef,Eruvin,318
Be'er Mayim Chaim,Exodus,316
Bava Metzia,"Mishneh Torah, Robbery and Lost Property",314
Arakhin,Jastrow,313
Niddah,"Shulchan Arukh, Yoreh De'ah",312
"Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",311
Jastrow,Targum Jonathan on Judges,311
Deuteronomy,Devarim Rabbah,311
Be'er Mayim Chaim,Isaiah,310
Ein Yaakov (Glick Edition),Exodus,309
Bava Metzia,"Mishneh Torah, Hiring",308
"Mishneh Torah, Prayer and the Priestly Blessing",Tur,307
Proverbs,Yismach Moshe,307
"Mishneh Torah, Sacrificial Procedure",Zevachim,306
"Mishneh Torah, Creditor and Debtor",Sefer Mitzvot Gadol,304
Isaiah,Tikkunei Zohar,304
Eruvin,"Mishneh Torah, Eruvin",303
Midrash Lekach Tov,Numbers,302
B'Mareh HaBazak Volume VII,"Shulchan Arukh, Yoreh De'ah",302
"Mishneh Torah, Robbery and Lost Property",Tur,302
Bava Batra,Pri Tzadik,298
"Mishneh Torah, Nazariteship",Nazir,296
Commentary on Sefer Hamitzvot of Rasag,Sanhedrin,296
Bekhorot,Tur,296
Be'er Mayim Chaim,Berakhot,295
Ein Yaakov (Glick Edition),Proverbs,295
Jastrow,Targum of II Chronicles,294
I Samuel,Mahberet Menachem,294
"Mishneh Torah, Divorce",Sefer Mitzvot Gadol,294
"Mishneh Torah, Blessings","Shulchan Arukh, Orach Chayim",294
"Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",294
"Mishneh Torah, Damages to Property","Shulchan Arukh, Choshen Mishpat",293
Jastrow,Tosefta Keilim Metsia,293
Psalms,Vayikra Rabbah,291
Gittin,Sefer HaTashbetz,291
Bereishit Rabbah,Isaiah,291
Avodah Zarah,"Mishneh Torah, Forbidden Foods",291
Ezekiel,Zohar,291
Isaiah,Kad HaKemach,288
"Mishneh Torah, Damages to Property",Sefer Mitzvot Gadol,288
Pirkei Avot,Shenei Luchot HaBerit,288
Genesis,Meshech Hochma,288
Shevuot,Tur,286
Bava Kamma,Tosafot on Bava Kamma,285
Jastrow,Targum of I Chronicles,285
Pele Yoetz,Proverbs,285
Aramaic Targum to Esther,Jastrow,285
Rashi on Numbers,Sifrei Bamidbar,284
Leviticus,Sanhedrin,284
Deuteronomy,Likutei Moharan,283
Leviticus,Steinsaltz on Yoma,283
Jeremiah,Zohar,282
Bava Kamma,Teshuvot Maharam,280
"Mishneh Torah, Robbery and Lost Property",Sefer Mitzvot Gadol,279
Leviticus,Rashi on Zevachim,278
Menachot,"Mishneh Torah, Sacrificial Procedure",277
Daniel,Mahberet Menachem,276
Berakhot,"Mishneh Torah, Blessings",275
Job,Midrash Tanchuma,275
Chizkuni,Numbers,274
Sanhedrin,Yismach Moshe,273
Kiddushin,Torah Temimah on Torah,272
Beitzah,"Mishneh Torah, Rest on a Holiday",272
Shabbat,Yismach Moshe,271
Ecclesiastes,Zohar,271
Ketubot,Teshuvot Maharam,270
"Mishneh Torah, Levirate Marriage and Release","Shulchan Arukh, Even HaEzer",270
Jastrow,Keritot,269
"Mishneh Torah, Negative Mitzvot",Sefer Hamitzvot of Rasag,268
Chullin,Rashi on Chullin,268
Megillah,Tur,268
Deuteronomy,Mekhilta d'Rabbi Yishmael,267
"Mishneh Torah, Ritual Slaughter",Tur,267
Genesis,Shemot Rabbah,267
Ezekiel,Rabbeinu Bahya,266
Leviticus,Sefer Mitzvot Katan,265
Sotah,Torah Temimah on Torah,265
Ein Yaakov,Numbers,264
Kiddushin,Pri Tzadik,264
"Mishneh Torah, Forbidden Intercourse","Shulchan Arukh, Even HaEzer",263
Arukh HaShulchan,Shabbat,263
Be'er Mayim Chaim,Proverbs,263
Jastrow,Targum Jonathan on II Samuel,263
Ketubot,Tosafot on Ketubot,263
Jastrow,Proverbs,262
Klein Dictionary,Psalms,262
Torah Temimah on Torah,Zevachim,262
Isaiah,Shemot Rabbah,261
Deuteronomy,Steinsaltz on Sanhedrin,260
Bava Kamma,Exodus,260
"Mishneh Torah, Ownerless Property and Gifts","Shulchan Arukh, Choshen Mishpat",260
Torah Temimah on Torah,Yoma,260
Beit Yosef,Chullin,260
Bava Batra,Teshuvot HaRivash,258
"Mishneh Torah, Plaintiff and Defendant","Shulchan Arukh, Choshen Mishpat",258
"Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction",Sefer Mitzvot Gadol,257
Exodus,Sifra,257
Bava Metzia,Tosafot on Bava Metzia,257
Genesis,Shem MiShmuel,257
Bava Metzia,Rashba on Bava Metzia,256
Arvei Nachal,Psalms,256
Jastrow,Mishnah Sanhedrin,256
Bamidbar Rabbah,Isaiah,256
"Mishneh Torah, Rest on a Holiday",Tur,256
HaKtav VeHaKabalah,Isaiah,254
Job,Rabbeinu Bahya,252
Be'er Mayim Chaim,Deuteronomy,252
Bereishit Rabbah,Shenei Luchot HaBerit,252
Be'er Mayim Chaim,Sanhedrin,251
Leviticus,Sefer HaMitzvot,250
"Mishneh Torah, Ownerless Property and Gifts",Tur,250
"Mishneh Torah, Positive Mitzvot",Sefer HaChinukh,249
"Mishneh Torah, Positive Mitzvot",Sefer Mitzvot Gadol,249
Bava Metzia,"Mishneh Torah, Creditor and Debtor",249
Genesis,Rashi on Genesis,249
"Mishneh Torah, Mourning","Shulchan Arukh, Yoreh De'ah",249
Jeremiah,Midrash Tanchuma,249
Likutei Moharan,Shabbat,249
Pri Tzadik,Sukkah,248
Moed Katan,"Shulchan Arukh, Yoreh De'ah",248
"Mishneh Torah, Positive Mitzvot",Sefer HaMitzvot,248
Aramaic Targum to Ecclesiastes,Jastrow,248
Gittin,"Shulchan Arukh, Choshen Mishpat",248
Ketubot,Rashba on Ketubot,248
Jastrow,Mishnah Kilayim,247
Chullin,Torah Temimah on Torah,246
"Mishneh Torah, Shofar, Sukkah and Lulav",Sukkah,245
Leviticus,Steinsaltz on Menachot,244
Deuteronomy,Kad HaKemach,244
HaKtav VeHaKabalah,Psalms,243
Akeidat Yitzchak,Berakhot,242
Exodus,Otzar Midrashim,241
Torah Temimah on Torah,Yevamot,241
Kiddushin,Leviticus,241
Job,Klein Dictionary,240
Exodus,Shir HaShirim Rabbah,240
Footnotes to Teshuvot haRashba part IV,Teshuvot haRashba part IV,240
Isaiah,Likutei Halachot,240
Numbers,Sifra,240
Bava Metzia,"Shulchan Arukh, Yoreh De'ah",240
Aramaic Targum to Song of Songs,Jastrow,239
Menachot,Sifra,239
Genesis,Sefer HaYashar (midrash),239
Akeidat Yitzchak,Ecclesiastes,238
Jeremiah,Rabbeinu Bahya,237
Arakhin,Leviticus,237
Bava Metzia,Sefer HaTashbetz,237
Kad HaKemach,Proverbs,237
Menachot,Torah Temimah on Torah,236
Deuteronomy,Sefer Hamitzvot of Rasag,236
Birkat Asher on Torah,Exodus,236
Bava Batra,"Mishneh Torah, Ownerless Property and Gifts",236
"Mishneh Torah, Mourning",Moed Katan,236
Keritot,Leviticus,235
Rashi on Zevachim,Zevachim,235
Nedarim,Pri Tzadik,234
Genesis,Midrash Tehillim,233
Exodus,Sanhedrin,233
Jeremiah,Shenei Luchot HaBerit,233
Akeidat Yitzchak,Bereishit Rabbah,232
"Mishneh Torah, Vows",Tur,232
Megillah,"Shulchan Arukh, Orach Chayim",232
Eruvin,Pri Tzadik,232
Menachot,Zevachim,231
Leviticus,Rashi on Menachot,231
"Mishneh Torah, Oaths",Shevuot,231
"Mishneh Torah, Paschal Offering",Pesachim,229
Deuteronomy,Midrash Tehillim,229
I Kings,Rabbeinu Bahya,228
Berakhot,Torah Temimah on Torah,228
Beit Yosef,Sanhedrin,228
Otzar Midrashim,Proverbs,228
Exodus,Sefer HaChinukh,227
Leviticus,Yevamot,226
Leviticus,Steinsaltz on Chullin,226
Ezekiel,Midrash Tanchuma,226
"Mishneh Torah, Leavened and Unleavened Bread",Pesachim,226
I Kings,Zohar,226
Be'er Mayim Chaim,Shemot Rabbah,226
"Mishneh Torah, Blessings",Tur,226
Jastrow,Pirkei DeRabbi Eliezer,225
Bach,Bava Batra,225
Pri Tzadik,Rosh Hashanah,225
Exodus,Midrash Tehillim,225
Ecclesiastes,Midrash Lekach Tov on Ecclesiastes,224
Ezekiel,Klein Dictionary,224
Midrash Lekach Tov,Proverbs,224
Chullin,Deuteronomy,224
Ezekiel,The Third Beit HaMikdash,223
Eruvin,Tosafot on Eruvin,223
Leviticus,"Mishneh Torah, Negative Mitzvot",223
Sefer HaMitzvot,Sefer Mitzvot Katan,222
"Mishneh Torah, Mourning",Tur,222
Aramaic Targum to Lamentations,Jastrow,222
Bamidbar Rabbah,Proverbs,222
Chizkuni,Deuteronomy,222
Mei HaShiloach,Psalms,222
Ecclesiastes,Shenei Luchot HaBerit,222
Ein Yaakov,Leviticus,221
Exodus,Sefer Mitzvot Gadol,220
Bekhorot,"Shulchan Arukh, Yoreh De'ah",220
Jastrow,Mishnah Berakhot,219
Pesachim,Shenei Luchot HaBerit,218
"Mishneh Torah, Damages to Property",Tur,218
Bereishit Rabbah,Pirkei DeRabbi Eliezer,218
Pesikta Rabbati,Psalms,218
Jastrow,Targum Jonathan on II Kings,217
Bava Batra,Tosafot on Bava Batra,217
Menachot,Tur,217
Kiddushin,"Mishneh Torah, Marriage",216
"Mishneh Torah, Eruvin","Shulchan Arukh, Orach Chayim",216
Jastrow,Makkot,216
Jastrow,Nazir,215
"Mishneh Torah, Forbidden Intercourse",Yevamot,215
Deuteronomy,Otzar Midrashim,215
Jastrow,Mishnah Ketubot,214
Shevuot,"Shulchan Arukh, Choshen Mishpat",214
Jastrow,Mishnah Sheviit,214
Deuteronomy,Sotah,214
Leviticus,Niddah,214
Genesis,Torat HaOlah,213
Exodus,Pirkei DeRabbi Eliezer,213
Akeidat Yitzchak,Jeremiah,213
Bava Kamma,"Mishneh Torah, One Who Injures a Person or Property",213
Ibn Ezra on Isaiah,Isaiah,213
"Mishneh Torah, Hiring","Shulchan Arukh, Choshen Mishpat",212
Shabbat,Torah Temimah on Torah,212
Tosafot on Menachot,Zevachim,212
Pele Yoetz,Psalms,212
Jastrow,Tosefta Avodah Zarah,212
Leviticus,Midrash Lekach Tov,211
Pesachim,Torah Temimah on Torah,210
Job,Midrash Tanchuma Buber,210
"Mishneh Torah, Ritual Slaughter",Sefer Mitzvot Gadol,210
Genesis,Vayikra Rabbah,209
Numbers,Siftei Chakhamim,209
Be'er Mayim Chaim,Shabbat,209
Bava Batra,Rashba on Bava Batra,208
Genesis,Kohelet Rabbah,208
Deuteronomy,Yevamot,208
Isaiah,Zohar Chadash,208
Ein Yaakov (Glick Edition),Numbers,207
Jastrow,Mishnah Bava Metzia,207
Mekhilta d'Rabbi Yishmael,Psalms,207
Jastrow,Mishnah Yoma,207
Pri Tzadik,Sotah,207
Job,Shenei Luchot HaBerit,206
Baal Shem Tov,Psalms,206
Bava Kamma,"Mishneh Torah, Robbery and Lost Property",206
Berakhot,"Mishneh Torah, Prayer and the Priestly Blessing",205
Jastrow,Mishnah Chullin,205
Menachot,"Mishneh Torah, Sacrifices Rendered Unfit",204
Sanhedrin,Sefer HaChinukh,204
Deuteronomy,Kiddushin,203
Genesis,Tur HaAroch,203
Exodus,Pesikta D'Rav Kahanna,203
